iter	Passed	Remaining
0	100	100696
1	126	63031
2	152	50705
3	170	42390
4	184	36712
5	198	32841
6	211	30014
7	221	27525
8	233	25675
9	244	24176
10	255	22953
11	265	21879
12	276	21013
13	287	20231
14	298	19572
15	308	18980
16	319	18453
17	329	18000
18	341	17611
19	352	17279
20	364	16994
21	375	16698
22	386	16434
23	397	16156
24	408	15939
25	418	15691
26	429	15493
27	441	15321
28	451	15103
29	464	15006
30	474	14846
31	484	14657
32	495	14524
33	506	14382
34	516	14237
35	529	14178
36	540	14080
37	552	13985
38	563	13876
39	573	13775
40	584	13667
41	595	13582
42	606	13487
43	619	13459
44	632	13429
45	643	13348
46	654	13261
47	664	13178
48	677	13140
49	688	13075
50	698	13005
51	711	12962
52	721	12891
53	732	12834
54	743	12778
55	755	12729
56	764	12654
57	775	12598
58	788	12574
59	799	12518
60	810	12474
61	821	12422
62	831	12363
63	842	12316
64	854	12285
65	865	12241
66	877	12215
67	889	12190
68	901	12163
69	913	12142
70	926	12118
71	937	12086
72	951	12085
73	964	12070
74	978	12063
75	992	12072
76	1006	12067
77	1021	12072
78	1032	12041
79	1043	12002
80	1055	11980
81	1066	11943
82	1076	11897
83	1087	11856
84	1097	11817
85	1108	11776
86	1120	11762
87	1133	11745
88	1143	11709
89	1156	11691
90	1170	11689
91	1182	11668
92	1193	11641
93	1204	11610
94	1216	11586
95	1228	11572
96	1240	11551
97	1252	11531
98	1265	11518
99	1278	11506
100	1290	11488
101	1302	11465
102	1314	11446
103	1325	11416
104	1337	11397
105	1348	11369
106	1360	11352
107	1371	11324
108	1386	11330
109	1399	11323
110	1412	11309
111	1423	11284
112	1434	11262
113	1446	11245
114	1459	11231
115	1469	11199
116	1480	11176
117	1491	11149
118	1502	11123
119	1514	11107
120	1526	11089
121	1538	11070
122	1549	11046
123	1560	11024
124	1573	11017
125	1585	11000
126	1597	10982
127	1609	10964
128	1620	10944
129	1632	10925
130	1644	10907
131	1654	10880
132	1666	10864
133	1677	10841
134	1689	10827
135	1700	10804
136	1712	10790
137	1724	10774
138	1735	10748
139	1747	10735
140	1759	10720
141	1770	10698
142	1781	10678
143	1792	10657
144	1804	10639
145	1816	10626
146	1828	10612
147	1843	10614
148	1855	10597
149	1868	10589
150	1881	10578
151	1894	10566
152	1907	10559
153	1921	10553
154	1932	10533
155	1945	10525
156	1957	10513
157	1971	10503
158	1985	10501
159	1998	10489
160	2011	10480
161	2024	10472
162	2037	10460
163	2048	10441
164	2060	10428
165	2072	10410
166	2082	10387
167	2094	10370
168	2105	10353
169	2117	10336
170	2128	10316
171	2140	10306
172	2153	10293
173	2166	10284
174	2177	10265
175	2188	10246
176	2202	10241
177	2215	10229
178	2226	10213
179	2238	10195
180	2249	10179
181	2261	10162
182	2272	10145
183	2284	10132
184	2295	10111
185	2307	10097
